Standard_D4ds_v4,Standard_D4ds_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Ddsv5
Standard_D4d_v4,Standard_D4d_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Ddv5
Standard_D4s,Standard_D8s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dsv5
Standard_D4s_v3,Standard_D4s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dsv5
Standard_D4s_v4,Standard_D4s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dsv5
Standard_D4_v2,Standard_D8_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dv5
Standard_D4_v3,Standard_D4_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dv5
Standard_D4_v4,Standard_D4_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dv5
Standard_D5_v2,Standard_D16_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dv5
Standard_D64as_v4,Standard_D64as_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dasv5
Standard_D64ds_v4,Standard_D64ds_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Ddsv5
Standard_D64d_v4,Standard_D64d_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Ddv5
Standard_D64s_v3,Standard_D64s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dsv5
Standard_D64s_v4,Standard_D64s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dsv5
Standard_D64_v3,Standard_D64_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dv5
Standard_D64_v4,Standard_D64_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dv5
Standard_D8as_v4,Standard_D8as_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dasv5
Standard_D8ds_v4,Standard_D8ds_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Ddsv5
Standard_D8d_v4,Standard_D8d_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Ddv5
Standard_D8s_v3,Standard_D8s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dsv5
Standard_D8s_v4,Standard_D8s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dsv5
Standard_D8_v3,Standard_D8_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dv5
Standard_D8_v4,Standard_D8_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dv5
Standard_D96as_v4,Standard_D96as_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Dasv5
Standard_E16-4as_v4,Standard_E16-4as_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Easv5
Standard_E16-4ds_v4,Standard_E16-4ds_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Edsv5
Standard_E16-4s_v3,Standard_E16-4s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E16-4s_v4,Standard_E16-4s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E16-8as_v4,Standard_E16-8as_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Easv5
Standard_E16-8ds_v4,Standard_E16-8ds_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Edsv5
Standard_E16-8s_v3,Standard_E16-8s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E16-8s_v4,Standard_E16-8s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E16as_v4,Standard_E16as_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Easv5
Standard_E16ds_v4,Standard_E16ds_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Edsv5
Standard_E16d_v4,Standard_E16d_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Edv5
Standard_E16s_v3,Standard_E16s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E16s_v4,Standard_E16s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E16_v3,Standard_E16_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Ev5
Standard_E16_v4,Standard_E16_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Ev5
Standard_E20as_v4,Standard_E20as_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Easv5
Standard_E20ds_v4,Standard_E20ds_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Edsv5
Standard_E20d_v4,Standard_E20d_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Edv5
Standard_E20s_v3,Standard_E20s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E20s_v4,Standard_E20s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E20_v3,Standard_E20_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Ev5
Standard_E2as_v4,Standard_E2as_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Easv5
Standard_E2ds_v4,Standard_E2ds_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Edsv5
Standard_E2d_v4,Standard_E2d_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Edv5
Standard_E2s_v3,Standard_E2s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E2s_v4,Standard_E2s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E2_v3,Standard_E2_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Ev5
Standard_E2_v4,Standard_E2_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Ev5
Standard_E32-16as_v4,Standard_E32-16as_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Easv5
Standard_E32-16ds_v4,Standard_E32-16ds_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Edsv5
Standard_E32-16s_v3,Standard_E32-16s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E32-16s_v4,Standard_E32-16s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E32-8as_v4,Standard_E32-8as_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Easv5
Standard_E32-8ds_v4,Standard_E32-8ds_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Edsv5
Standard_E32-8s_v3,Standard_E32-8s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E32-8s_v4,Standard_E32-8s_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Esv5
Standard_E32as_v4,Standard_E32as_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Easv5
Standard_E32ds_v4,Standard_E32ds_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Edsv5
Standard_E32d_v4,Standard_E32d_v5,Microsoft.Compute/virtualMachines,asia-pacific-east,Edv5
